feature_path,language_code,language_label,client_id,split,original_path
common_voice_zh-CN_18661437.npy,zh-CN,zh,7da734c4d823e7cce45498612eccc10aca199920ac9f39f1c46b7728eee91bc46a8fbd2cb7f932b8e418e0990425fb03024e1472f1eea0a27a208e84bfa1bedb,train,data\raw\zh-CN\cv-corpus-24.0-2025-12-05\zh-CN\clips\common_voice_zh-CN_18661437.mp3
common_voice_zh-CN_19011118.npy,zh-CN,zh,1cdb17bb6d5173c0279f7b96ab768825dbec1951e78da5c1e8e5d8f52616b6452842fd8cec8d0cfdcadf4f743f979764c7be1a45c5b2167ba7e750a50e010c39,train,data\raw\zh-CN\cv-corpus-24.0-2025-12-05\zh-CN\clips\common_voice_zh-CN_19011118.mp3
common_voice_zh-CN_18651257.npy,zh-CN,zh,2abdfa97a4f15546c8e5c01535b8347967f9546decc0ac79c902e04143c7121dfc1ddc6f3550115afb1b2e7008623949e5891d00949a371fe049d28b487d984c,train,data\raw\zh-CN\cv-corpus-24.0-2025-12-05\zh-CN\clips\common_voice_zh-CN_18651257.mp3
common_voice_zh-CN_18999816.npy,zh-CN,zh,a1efc769caa3378766ac2ef5ada79bd9fd99ae77c6d2b49e39ad8969a95a8051dfb013ebc3cf81f2638681b40c59204e07d269167b3c29555f7c494a88ffc810,train,data\raw\zh-CN\cv-corpus-24.0-2025-12-05\zh-CN\clips\common_voice_zh-CN_18999816.mp3
common_voice_zh-CN_18994723.npy,zh-CN,zh,63758678436ec1b22aa1a2fc400ae839ac9646a5f945c6a9f67e5c4a4ebd058a9a9bde13e592dfae8569a75588a8855e1e88869674231c9d23519e46b5809b6b,train,data\raw\zh-CN\cv-corpus-24.0-2025-12-05\zh-CN\clips\common_voice_zh-CN_18994723.mp3
common_voice_zh-CN_19000581.npy,zh-CN,zh,c75cc81e86b091d257942e9417b2cc3ca44dbde93a2e2e50e3c04a85c4448693f035ec285921f1da3ae17631159e77912b08c695d9bb7b7a527b5a6393b76dc7,train,data\raw\zh-CN\cv-corpus-24.0-2025-12-05\zh-CN\clips\common_voice_zh-CN_19000581.mp3
common_voice_zh-CN_18979661.npy,zh-CN,zh,85df749ce7fa00dc068bdb970b25b25f1511a73839e8367e40a88d87c0c0a08f7ea92b55d509911a40451eaf5f58bfae7009cede2e1b85c74d7a2ba6159af158,train,data\raw\zh-CN\cv-corpus-24.0-2025-12-05\zh-CN\clips\common_voice_zh-CN_18979661.mp3
common_voice_zh-CN_18979380.npy,zh-CN,zh,79d2d55ae7bc2344a856aa6ddb8665f8f61462516741c81bfeee02df9719d5cf41cb4fcab70c4f0c7dd7b2066dd0744156aa83193b0c1f250b337defde216e7a,train,data\raw\zh-CN\cv-corpus-24.0-2025-12-05\zh-CN\clips\common_voice_zh-CN_18979380.mp3
common_voice_zh-CN_18995027.npy,zh-CN,zh,7d7f8861e394102030bf118e941382da624b9eebfe155e395ef5ac9d7e99979a673671e14ce4aecbcda7db2e846cb59f7f1f403ec1b715cdfcae7629eafd17dc,train,data\raw\zh-CN\cv-corpus-24.0-2025-12-05\zh-CN\clips\common_voice_zh-CN_18995027.mp3
common_voice_zh-CN_18647686.npy,zh-CN,zh,d175daa807c6ba834b37438cec204e03dd6b4d8641619763ccf77d510f1e010d50c2163be56d206962f33eda34f3f31066ac8aa4b603cb55b6607038e27ea6ff,train,data\raw\zh-CN\cv-corpus-24.0-2025-12-05\zh-CN\clips\common_voice_zh-CN_18647686.mp3
